functionname,protocol,device,subdevice,function
TIVO,Tivo-Nec1,133,48,7
LIVE TV,Tivo-Nec1,133,48,17
DISPLAY,Tivo-Nec1,133,48,19
CURSOR UP,Tivo-Nec1,133,48,20
CURSOR RIGHT,Tivo-Nec1,133,48,21
CURSOR DOWN,Tivo-Nec1,133,48,22
CURSOR LEFT,Tivo-Nec1,133,48,23
THUMBS DOWN,Tivo-Nec1,133,48,24
CURSOR CLICK,Tivo-Nec1,133,48,25
THUMBS UP,Tivo-Nec1,133,48,26
CHANNEL +,Tivo-Nec1,133,48,30
CHANNEL -,Tivo-Nec1,133,48,31
RECORD ON/OFF,Tivo-Nec1,133,48,32
PLAY,Tivo-Nec1,133,48,33
SCAN <<,Tivo-Nec1,133,48,34
PAUSE,Tivo-Nec1,133,48,35
SCAN >>,Tivo-Nec1,133,48,36
SLOW MOTION,Tivo-Nec1,133,48,37
REPLAY,Tivo-Nec1,133,48,38
ADVANCE,Tivo-Nec1,133,48,39
1,Tivo-Nec1,133,48,40
2,Tivo-Nec1,133,48,41
3,Tivo-Nec1,133,48,42
4,Tivo-Nec1,133,48,43
5,Tivo-Nec1,133,48,44
6,Tivo-Nec1,133,48,45
7,Tivo-Nec1,133,48,46
8,Tivo-Nec1,133,48,47
9,Tivo-Nec1,133,48,48
0,Tivo-Nec1,133,48,49
CLEAR,Tivo-Nec1,133,48,50
ENTER,Tivo-Nec1,133,48,51
ENTER/JUMP,Tivo-Nec1,133,48,51
JUMP,Tivo-Nec1,133,48,51
GUIDE,Tivo-Nec1,133,48,54